"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,Titel,Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Autographe Funktion,"intere Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,Übergeordnete Quelle zweiter Ordnung/ Untergeordnete Quelle zweiter Ordnung,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung,Tempoangabe,Sprachcode (falls mehrere mit | abtrennen),Text-Incipit,Widmung diplomatisch,Kommentar zur Widmung,Datierung diplomatisch auf Quelle,Datierung auf Quelle maschinenlesbar,Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND Ort,Schrift,Umfang,Papier,Bezug zu Druck: Verlags-GND,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,,,,
,,R 488 | S 12 | J22,Dies irae,D-WRgs,GSA 60/B 27,,,Skizze,,,,,,,,,,,MCh (TTBB),,,"Dies irae, dies illa",,,,,,,,,,Liszt (sepia Tinte),"1 Blatt, verso Seite Notentext, recto Seite leere Notenzeilen","durch Abschneiden Querformat, ??? x ??? mm",,,,,,,,"Das Autograph enthält einen Entwurf der ersten drei Strophen des ""Dies irae"" für das Requiem. Notiert sind lediglich die Vokalpartien, nicht die Orgel. Zudem gibt es noch Abweichungen von der vollständigen Fassung. Das Autograph zeigt demnach ein frühes Stadium der Komposition. unten befindet sich eine kleine Notenskizze. Die Korrekturen beschränken sich auf wenige Rasuren.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190900,BV,,,,
,1001234382,"R 568 | S 297 | N10 
[Entwurf nicht eindeutig zuordenbar]",Der du von dem Himmel bist,D-WRgs,GSA 60/D 6,,,Entwurf,,,,,,,,,Der Du von dem Himmel bist,,"Singst, Kl",Sehr langsam,,Der Du von dem Himmel bist ,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, 266 x 340 mm, 10 Notenzeilen, handrastriert",,,,,,,,"Erster Entwurf des Liedes, sechstaktiges Klaviervorspiel im Vierertakt, ab Einsatz der Singstimme Wechsel zum 3/4-Takt; Gesang bis auf den Schluss in Takt 14 identisch mit der späteren Ausgabe, Klaviersatz gleicht nur in Harmonien und wurde von Liszt stark überarbeitet. Text und Dynamik wurden nachträglich eingetragen.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191280,URoe,,,,
,1001340874,,Menuet de Symphonie,D-WRgs,GSA 60/A 27,Ms A 27,,Entwurf,,,,,,,,,Menuet de Symphonie.,,Enthält nur wenige Instrumentenverweise: Quatuor de Violon | chercher le chant | Orchestre,Prestissimo,,,,,30 Juin 1830.,1830-06-30,,"[Blatt 2r], Mitte; Skizze zu einer Symphonie, Ort wohlmöglich [Paris 4044660-8], Zusammenhang mit Juli-Revolution?",,Paris,4044660-8,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite)","Hochformat, 300 x 227 mm, 16 Notenzeilen, handrastriert, Wasserzeichen: [Blüte mit Stängel] mit 10 Steglinien",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,unregelmäßige Seitenränder,,"Skizze, die mehrere Ideen für eine Symphonie (?) festhält, unterschiedliche Sätze, Motive und Besetzungen werden notiert. Beginnt mit einem Menuett in d-Moll (Takt 3/4), notiert auf zwei Zeilen [Blatt 1r], in der letzten Akkolade ist eine absteigende Solo-Melodie in f-Moll notiert (Takt C). [Blatt 1v]: Quatuor de Violin, vierstimmiger Satz in e-Moll (Takt C), bricht nach acht Takten mit Auftakt ab, darüber notiert Liszt eine Art geschleiftes ""D"". Es folgt im letzten System auf der Seite eine oktavierte (Geigen?)Melodie, ebenfalls in e-Moll. [Blatt 2r] neue einstimmige Melodie, e-Moll (Takt 2/4); die letzte Idee enthält die Datierung (zwischen Notenzeile 6 und 7), notiert sind ein Tremolo und seine harmonische Entsprechung (4 b Vorzeichnung), Text: ""Lente de Fulcher continuer le tremolo | chercher le chant. continuer le trem. Orchestre"", links daneben findet sich die Datierung vom 30. Juni 1830. Ganz unten rechts am Seitenende: ""2ie moité [deuxième moitié?] | moduler en fa | et puis le motif | [??unleserlich]"". Die Rückseite des Bogens ist unbeschrieben.",Laut GSA-Findbuch der Signatur GSA 60/Z 18 entnommen. Raabe liest auf Blatt 2r: Lendemain de Fidelio,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190413,DTie,,,,
,1001266982,R 106 | R 244 | A132,Ungarische Rhapsodien,D-WRgs,GSA 60/I 9,"Ms I, 9|1",,Skizze,,,,,x,1001266763,,,Ungarische Rhapsodien,Raabe (Bleistift),Kl,,,,,,,,,,,,,Liszt (Rötel),Blatt 1-2 (von 25 Blatt),"Hochformat, 340 x 265 mm, 13 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Die ersten beiden Seiten [Blatt 1r-1v] des Bogens enthalten Skizzen zur 5. Rhapsodie mit Rötel. Auf der letzten Seite [Blatt 2v] ist eine Art Register zu sehen, mit Nummern 5 bis 15 (= Ungarische Rhapsodien). Dies enthält ""Incipits"", Generalvorzeichnung sowie Titel. Bsp. 7 Galop -; 9 Pester Carneval; 13 a-Moll; 14 in f-Moll -; 15 Rakozy.","GSA-Findbuch: Auf der ersten Seite (beziffert: 12) mit Rotstift Skizzentakte zur 5ten Rhapsodie (Heroide élégiaque), auf der 4ten die Reihenfolge der Rhapsodien von der 4ten bisbzur 15ten markirt durch die Anfangsnoten oder die Zahlen, zuweilen mit Hinzufügung des Namens der Person, der die Rhapsodie gewidmet ist (5 R [Reviczky], 6 Apponyi, 11 Orozy).","Umfang: 2 Blatt zu 1 Bogen, 3 Seiten Notentext, 1 Leerseite",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192134,DTie,,,,
,1001250306,R 641 (499b) | S 680 | K3,Ave Maris stella,D-WRgs,GSA 60/C 19,Ms C 19,,Entwurf,,,,,,,,,,,"Solo-St, Harm",,,,,,Franz Liszt [Weimar 4065105-8] | 1882,1882-xx-xx,,,Weimar,,4065105-8,"Liszt (schwarze Tinte, rosa Stift)","2 Blatt zu 1 Bogen, 3 Seiten Notentext, 1 Leerseite","Querformat, 209 x 266 mm, 10 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,Längsfalz; Rastrierung mit grün-blauer Tinte,,Das Autograph enthält eine alternative Begleitung (S. 3). Mit rosa Stift minimale Korrektur und wenige Rasuren (S. 2).,"GSA-Findbuch: Ankauf Sommer 1913 bei ???

Druck in HAAB: urn:nbn:de:gbv:32-1-10038978039

Digitalisat des Notentextes: https://haab-digital.klassik-stiftung.de/viewer/image/4268722831/7/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191061,BV,,,,
,1001246448,R 527 | S 56 | J37,Avant propos zu Rosario,D-WRgs,GSA 60/C 3,"Ms C, 3|7",,Entwurf,,,,,x,1001245985,,,,,,,,,,,"Blatt 28r: 19 November, (Fest der heiligen Elisabeth) 79. | [Villa d'Este 4431211-8]. | F. Liszt
Blatt 28v: 19 Novembre (fête de ste Elisabeth) 79 - [Villa d'Este 4431211-8]. | F. Liszt",1879-11-19,,,Villa d'Este (Tivoli),,4431211-8,Liszt (schwarze Tinte) ,"1 Blatt, 2 Seiten Text, foliiert","Querformat, 134 x 209 mm",,,,,,Mittelfalz,,"Liszt entwirft den ersten Absatz zum Vorwort für ""Rosario"" zugleich auf Französisch (Blatt 28v) und auf Deutsch (Blatt 28r). Es handelt sich nicht um die endgültige Fassung, Liszt streicht und korrigiert sehr viel. Die endgültige Fassung befindet sich auf S. 1-4 des Digitalisats.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190972,BV,,,,
,1001269626,"R 10b,7 | S 161,7 | A55,7",Après un Lecture du Dante,D-WRgs,GSA 60/I 18,"Ms I, 18",,Skizze,,,,,,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte), [Gaetano Belloni 1029911630]? (schwarze Tinte)","3 Blatt, 4 Seiten Notentext, 2 Leerseiten, foliiert","Blatt 1, Hochformat, 324 x 253 mm, 12 Notenzeilen, handrastriert; Blatt 2, Hochformat, 347 x 257 mm, 20 Notenzeilen, handrastriert; Blatt 3, Hochformat, 342 x 263 mm, 20 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Die Signatur weist drei Einzelblätter auf, die Studien/Ideen zur Dante-Sonate beinhalten. Das erste Blatt ist von Liszt selbst geschrieben und hält die Idee der fallenden Tritonus-Intervalle sowie die chromatische Akkordprogression fest. Blatt 2 widmet sich einer früheren Version des aufsteigenden Motivs aus T. 110 sowie den aufsteigenden Akkorden aus T. 113. Das dritte Blatt schließlich ist nicht von Liszt (GSA gibt seinen Sekretär Belloni an) geschrieben und notiert wohl eine sehr frühe Version des D-Dur Schlusses, was aber schwierig zuzuordnen ist. Auf keinem der Blätter finden sich Hinzufügungen oder Korrekturen, sondern sie sind alle ""Reinschriften"".",,Handschrift von Belloni prüfen,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192153,DTie,,,,
,1001248269,R 534 | S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6c,"Ms C, 6|c",,Skizze,,,,,x,1001248226,,,Via Crucis.,,,,,,,,19 Nov: [Blatt 1r]| ([Villa d'Este 4431211-8] | 76.) [Blatt 1v],xxxx-11-19 | 1876-xx-xx,,,Villa d'Este (Tivoli),,4431211-8,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 4 Seiten Notentext, foliiert","Querformat, 269 x 347 mm, 16 Notenzeilen, handrastriert",,,,,,Längsfalz,,"Das Autograph enthält mehrere kleine Kompositionsskizzen aus dem Frühstadium der Arbeit an ""Via crucis"". Zum Teil sind sie schwer oder gar nicht auf die Sätze der späteren Komposition beziehbar. So kommt Liszt weder auf die marschähnliche Skizze im 5/4-Takt zurück noch übernimmt er die schon der Station VII ""Sancta Veronica"" zugeordneten aufsteigenden Achtel-Gesten mit Punktierung (beide Blatt 2r). Andere Skizzen lassen deutlichere Bezüge erkennen, so die mit I bezifferte Skizze im 3/2-Takt, die in Station V eingearbeitet ist, oder die darauf folgende mit II bezifferte Skizze, die in Station VI eingearbeitet ist. Mit starken Änderungen könnte Liszt die untere Skizze auf Blatt 1v/2r, (Liszt verlängert das unterste Notensystem mit dem Federhalter von Blatt 1v auf Blatt 2r) in Station II eingearbeitet haben.",Befindet sich auf Scan 101-104 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,
,1001248274,R 534 | S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6d,"Ms C, 6|d|1",,Skizze,,,,,x,1001248226,,,Via Crucis. (Vexilla Regis),,,,,,,,22 Nov,xxxx-11-22,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext, foliiert","Querformat, 112 x 269 mm, 10 Notenzeilen, handrastriert, unten abgeschnitten",,,,,,2 Längsfalze,,"Das Autograph enthält eine Skizzierung der Introduction ""Vexilla regis"" aus dem Frühstadium der Komposition, von der Liszt weniges übernimmt, vor allem einige harmonische Relationen.",Befindet sich auf Scan 105-106 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,
,1001248278 ,R 534 | S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6d,"Ms C, 6|d|2",,Skizze,,,,,x,1001248226,,,Via Crucis.,,,,,Lento,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext, foliiert","Querformat, 182 x 269 mm, 17 Notenzeilen, handrastriert",,,,,,,,Die Skizze weist drei Streichungen auf der recto-Seite auf. Unmittelbar übernimmt Liszt das Notierte nicht in die Komposition.,Befindet sich auf Scan 107-108 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,
,1001248283 ,R 534 | S 504a | A287,Via crucis,D-WRgs,GSA 60/C 6d,"Ms C, 6|d|3",,Skizze,,,,,x,1001248226,,,Via Crucis,,,,,Lento | Lento,,,([V.d.'E. 4431211-8] | 76.) | [Weimar 4065105-8] 77,1876-xx-xx | 1877xx-xx,,,Villa d'Este (Tivoli) | Weimar,,4431211-8 | 4065105-8,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite, foliiert","Querformat, 270 x 346 mm, 16 Notenzeilen, handrastriert, aus der unteren rechten Ecke ist ein Stück von 123 x 209 mm herausgeschnitten",,,,,,"Längs- und Querfalz, Stockflecken",,"Das Blatt enthält zwei Skizzen, in denen Liszt Ideen für ""Via crucis"" festhält. ",Befindet sich auf Scan 109-110 des Digitalisats von WRgs GSA 60/C 6,Skizzenblätter GSA 60/C 6c und C 6d sind durchgehend von Blatt 1-5 foliiert.,,BV,,,,
,1001250049,R 524 | S 65 | J50,Qui Mariam absolvisti,D-WRgs,GSA 60/C 9b,Ms C 9|b,,Entwurf,,,,,,,,,Qui Mariam absolvisti.,"dazu oben links: ""I. | Entwurf."" von [Alexander Wilhelm Gottschalg 116794526] ","Bar, GCh (SATB), Org/Harm","Andante, Metronom 76 [punktierte Halbe]",,Qui Mariam absolvisti,,,"Franz Liszt, Juli 85",1885-07-xx,,,,,,"Liszt (schwarze Tinte, blauer und roter Stift), [Gottschalg 116794526] (blauer Stift)","2 Blatt zu 1 Bogen, 4 Seiten Notentext ","Hochformat, 348 x 267 mm, 12 Notenzeilen, handrastriert; Überklebung Blatt 1v a, Hochformat, 248-258 x 232-242 mm, 8 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Liszt skizziert in dem autographen Entwurf hauptsächlich die Gesangstimmen, die Orgel ist nur rudimentär ausgeführt. Schon in diesem Kompositionsstadium notiert er die Stimmen für den lateinischen Text und für die deutsche Übersetzung. Das Autograph enthält eine Überklebung, auf der Liszt eine umfangreiche, mit rotem Stift gestrichene Passage neu komponiert (Bogen innen, linke Seite). Das letzte System der überklebten Passage ist unterhalb der Überklebung noch zu sehen. Daneben enthält das Autograph zahlreiche Streichungen (blauer Stift, schwarze Tinte) und Rasuren.",GSA 60/C 9b liegt GSA 60/C 9c nach der Gesamtumschlagseite bei.,Das Digitalisat des vorderen Umschlagblattes gehört zu GSA 60/C 9c.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190995,BV,,,,
,1001270026,R 18 | S 176 | S167,"Großes Konzertsolo, Skizzen",D-WRgs,GSA 60/I 20,Ms (zu I 20),,Skizze,,,,,x,1001270000,,,Concert Solo,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt, 4 Seiten Notentext","Hochformat, 315 x 235-240 mm, 12 Notenzeilen, gedruckt (Cöln bei Eck & Comp.); Hochformat, 398 x 233-239 mm, 33 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,Rastrierung des zweiten Blattes ziemlich unsauber,,"Die Skizzen bzw. Entwürfe sind mit schwarzer Tinte ausgeführt und beziehen sich auf den Beginn des Stücks (Blatt 1) sowie das Andante sostenuto in Des-Dur (Blatt 2). Auf der Rückseite (Blatt 2v) befinden sich Entwürfe wohl zu einer weiteren Komposition bzw. zwei musikalischen Ideen, die erste mit quasi polyphonem Beginn, die zweite eine Legato-Linie, die mit Arpeggien unterlegt ist.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192156,DTie,,,,
,,"R 534 | S 53 | J33,B52,E31","Via Crucis, Station Nr. 7 Jesus tombe",A-Wn,Mus.Hs.41070,,,Entwurf,,,,,,,,,Jesus tombe | la Iier foi | Via Crucis,Via Crucis ist oben auf der Rückseite geschrieben,Kl,,,(Jesus tombe),,,,,,,,,,"Liszt (schwarze Tinte, blauer und roter Stift)","1 zugeschnittenes Blatt, 2 Seiten Notentext","Querformat, ca. 130 x 347 mm, 5 Notenzeilen, handrastriert",,,Musiksammlung ÖNB,Musiksammlung ÖNB,,,,"Sehr kurzes Skizzenblatt, insbesondere harmonische Studien des dreimaligen Hinfallens Jesu auf dem Kreuzweg. Jeweils gekennzeichnet mit ""Jesus tombe | la 1re foi [...] la 2de fois [...] la 3me | foi"" (s. Blatt 1r). 
Auf der Rückseite, mit ""Via Crucis"" überschrieben, finden sich knappe Skizzen, zum einen eine chromatisch absteigende Achtellinie in f-Moll und zum anderen Akkorde (b-Moll). Diese sind jeweils mit 1mo und 2do bezeichnet, was auch eine vierhändige Fassung | Erprobung schließen lässt. Sämtliche Takte sind mit blauem sowie rotem Stift gestrichen. Das Blatt wurde in der Mitte gefaltet aufbewahrt.",Besetzung: Auf Rückseite möglicherweise vierhändig,,https://digital.onb.ac.at/RepViewer/viewer.faces?doc=DTL_5546958&order=1&view=SINGLE,DTie,,,,
,1001250205,R 536a | S ?? | J15a,Christus ist geboren,D-WRgs,GSA 60/C 15,Ms C 15|b,,Entwurf,,,,,x,1001250128,,,,,"4 St, Org",,,"[Äolsharfen, tönt es wieder]",,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, foliiert","Hochformat, 268 x 170 mm, 20 Notenzeilen, gedruckt",,,,,,,,"Liszt stellt dem Autograph der in d-Moll und D-Dur gehaltenen ersten Vertonung von ""Christus ist geboren"" die Bemerkung voran, ""in E mol zu transponiren (- ?) Besser[?] nicht "". Gestrichen hat Liszt den Hinweis zur Transposition trotz der durch Fragezeichen indizierten Einschränkungen und die vermutlich ein Distanznahme anzeigende Bemerkung nicht. Das Autograph erweckt den Eindruck einer noch unfertigen Komposition. Die Vokalstimmen sind nicht textiert, während die auf derselben Seite separat notierte Orgelbegleitung nicht zu Ende ausgeführt ist. ","Die Bemerkung ""in E mol zu transponiren (- ?) B[esser] nicht."" scheint trotz des Fragezeichens die Grundlage für die ca. 1865 bei Bote & Bock (Berlin) erschienene Ausgabe von ""Christus ist geboren"" für Männerchor zu bilden, die nach e-Moll/E-Dur transponiert ist.
Befindet sich auf Scan 4 des Digitalisats von D-WRgs GSA 60/C 15.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191026,BV,,,,
,1001250209,R 536b | S ?? | J15b,Christus ist geboren,D-WRgs,GSA 60/C 15,Ms C 15|b,,Entwurf,,,,,x,1001250128,,,,,4 St,,,"[Äolsharfen, tönt es wieder]",,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, foliiert","Hochformat, 268 x 170 mm, 20 Notenzeilen, gedruckt",,,,,,,,"Eingeleitet durch die Anmerkung ""andre freundlichere Version"" notiert Liszt den vierstimmigen Satz der zweiten Vertonung von ""Christus ist geboren"", allerdings ohne Stimm- und Instrumentenbezeichnungen.",Befindet sich auf Scan 4 des Digitalisats von D-WRgs GSA 60/C 15.,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191026,BV,,,,
,1001250214,,2 Skizzen,D-WRgs,GSA 60/C 15,,,Skizze,,,,,x,1001250128,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten","Hochformat, 260 x 169 mm, 20 Notenzeilen, gedruckt",,,,,,,,"Die erste Seite des Bogens enthält oben eine autographe Kompositionsskizze in A-Dur (schwarze Tinte) mit Fingersatz und unten eine autographe, schwer lesbare Kompositionsskizze (blauer Stift, schwarze Tinte) in As-Dur oder f-Moll. Beide Skizzen enthalten einige Rasuren.",Befindet sich auf Scan 5 des Digitalisats von D-WRgs GSA 60/C 15,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191026,BV,,,,
,1001261730,R 560,Drei Quartetten,D-WRgs,GSA 60/E 2,,,Entwurf,,,,,x,1001261730,3 Quartetten,,,,"MCh (TTBB), Kl",,,,,,Blatt 1r: Reise von [Hamburg 4023118-5] nach | [Cöln 4031483-2]; Blatt 10r: 20 July | 45,1845-07-19-1845-07-20,,Datierung nach dem letzten Stück,Hamburg| Köln,,4023118-5 | 4031483-2,"Liszt (schwarze Tinte, roter Stift)","10 Blatt zu 5 Bogen, 1 Titelseite, 17 Seiten Notentext, 2 Leerseiten, foliiert","Hochformat, 319 x 239 mm, 12 Notenzeilen, handrastriert",,,,,,,,"Es handelt sich um einen Entwurf der drei Männerchor-Stücke in schwarzer Tinte mit Eintragungen zu Dynamik und Phrasierung mit Rötel. Teilweise deutet Liszt Stimmverläufe erst an, verschiedene Takte noch nicht auskomponiert. ",Die archivarische Zuordnung der Stücke auf der Titelseite mit Bleistift ist teils falsch.,"Literatur dazu auftreiben: Schweizerische Musikzeitung, Revue musicale Suisse 82 (1942), S. 291; Vergleich mit Druck nötig. ",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191724,SKol,,,,
,1001261821,"R 560,4",Es rufet Gott uns mahnend,D-WRgs,GSA 60/E 2,"Ms E, 2|1",,Entwurf,,,,,x,1001261730,,,,,,Tempo deciso (non troppo allo),,Es rufet Gott uns mahnend,,,,,,,,,,,Blatt 2r-3v,,,,,,,,,"Es handelt sich um den Entwurf der Vertonung des Texts in Es-Dur und im 3/4-Takt. Liszt streicht die Tempoangabe ""Allegro energico"" und schreibt vor das erste System die neue Tempoangabe. Die ersten 14 Takte sind für die späteren Platzhalter nummeriert. ",,,,SKol,,,,
,1001261858,R 560,Es rufet Gott uns mahnend,D-WRgs,GSA 60/E 2,"Ms E, 2|2",,Entwurf,,,,,x,1001261730,,,,,,Mässig im Tempo - Erhaben im Vortrag - marcato,,Es rufet Gott uns mahnend,,,19. July [...],,1845-07-19,Angabe der Ortschaft nicht entziffert,,,,,Blatt 4r-7v,,,,,,,,,"Es handelt sich um den Entwurf der Vertonung des Texts in C-Dur und im 4/4-Takt. Enthält längere gestrichene Passagen (Blatt 5v-6r), die am Ende der Niederschrift des Stücks mit entsprechendem Verweiszeichen nachgetragen sind. ",,,,SKol,,,,
,1001261873,"R 560,6",Nicht gezagt,D-WRgs,GSA 60/E 2,"Ms E, 2|3",,Entwurf,,,,,x,1001261730,,,,,,Mässig bewegt - mit innigem Gefühl,,"Nicht gezagt, nicht geklagt",,,20 July 45,1845-07-20,,,,,,,Blatt 8r-10r,,,,,,,,,"Es handelt sich um einen Entwurf, bei dem streckenweise der unterlegte Text fehlt und der Notentext nur durch Platzhalter vermerkt ist.",,,,SKol,,,,
,,??,Skizze von 4 Takten,A-Wn,F28.Goellerich.617,,,Skizze,,,,,,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, ca 189 x 272 mm, 7 Notenzeilen, gedruckt, Papier blaugrau, zugeschnitten",,,Musiksammlung ÖNB. Nachlass Göllerich,Musiksammlung ÖNB. Nachlass Göllerich,,,,"Das Notenpapier bildet einen Vordruck von Solo mit Klavierbegleitung ab, da die Akkoladenklammer bereits mit abgedruckt ist. Liszt schreibt zwei Violinschlüssel mit zwei Kreuzen als Vorzeichen und beginnt mit der unteren Stimme, indem er eine Melodie notiert, die in punktierten Rhythmen voranschreitet. Nach viert Takten trägt er in der Solostimme den weiteren Verlauf einer (Lied?)Melodie ein (ohne Schlüsselung) und schreibt unter die erste Note ""Es"". Zudem notiert er den Takt mit ""(C)"". Die Begleitung setzt komplett aus und die ""Melodie"" bricht nach 5 Tönen ab. ",,"Es handelt sich um eine Skizze, die sich nur schwer identifizieren lassen dürfte. Photographiert.",nextcloud,DTie,,,,
,,??,Zwei Skizzenblätter,A-Wn,F28.Goellerich.618,,,Skizze,,,,x,,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","2 Blatt, 2 Seiten Notentext, 2 Leerseiten","1. Querformat, 160 x 261 mm, 4 Notenzeilen, handrastriert, zugeschnitten
2. Hochformat, 352 x 269 mm, 24 Notenzeilen, gedruckt",,,Musiksammlung ÖNB. Nachlass Göllerich,Musiksammlung ÖNB. Nachlass Göllerich,,,,"Es handelt sich um zwei lose Skizzenblätter, die zusammen in einer Signatur aufbewahrt werden. Die Skizzen umfassen nur wenige Takte. Blatt 2 wurde doppelt gefaltet aufbewahrt.",,"Identifikation schwierig, photographiert",nextcloud,DTie,,,,
,,??,Zwei Skizzenblätter,A-Wn,F28.Goellerich.618,,,Skizze,,,,,x,,,,,,"Chor, Org",,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, 160 x 261 mm, 4 Notenzeilen, handrastriert, zugeschnitten",,,Musiksammlung ÖNB. Nachlass Göllerich,Musiksammlung ÖNB. Nachlass Göllerich,,,,"Liszt notiert wenige Akkorde in Halben, die von D-Dur aus gehend über Cis in einer Terzschichtung münden (ais - cis - eis, mit Weiterführung nach h). Streicht alles mit blauem Stift.",,,nextcloud,DTie,,,,
,,??,Zwei Skizzenblätter,A-Wn,F28.Goellerich.618,,,Skizze,,,,,x,,,,,,"Fl, Ob, Klar in A, Fg, Hr in E",,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, 352 x 269 mm, 24 Notenzeilen, gedruckt",,,Musiksammlung ÖNB. Nachlass Göllerich,Musiksammlung ÖNB. Nachlass Göllerich,,blatt zweimal gefaltet (längs und quer),,"Liszt notiert nur Basston h im Fagott sowie eine gedehnte, dann absteigende Melodie in den Klarinetten. Generalvorzeichnung 4 Kreuze. Es scheint ernst gewesen zu sein, denn Liszt rasiert vier innerhalb der nur vier Takte, bevor er alles mit blauem Stift streicht.",,,nextcloud,DTie,,,,
,,R 82 | S 201 | A320,R. W. Venezia,A-Wn,F28.Goellerich.623,,,Entwurf,,,,,,,,,"Entwurf zu ""R. W. Venezia.""",Mit fremder Hand mit Bleistift eingetragen,Kl,Lento assai,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","1 Blatt, 1 Seite Notentext","Querformat, 141 x 267 mm, 5 Notenzeilen, gedruckt, zugeschnitten",,,Musiksammlung ÖNB. Nachlass Göllerich,Musiksammlung ÖNB. Nachlass Göllerich,,Blatt weist rechts zwei Wachsflecken auf,,"Entwurf der ersten 5 Takte. Die Melodie der rechten Hand entspricht den Takte 4-7 der gedruckten Komposition (NLGA I/12, S. 74), die Begleitung ist aber ganz anders konzipiert (tiefe Oktaven in den Bässen und nachschlagende Akkorde in der linken Hand). Alles mit Bleistift gestrichen. Auf der Hinterseite des Blattes finden sich zwei Wachsflecken, die auch nach Vorne durchdrücken, wohl aber kein Rest einer Überklebung. ",,,nextcloud,DTie,,,,
