"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,1001354306,R 2b | S 139 | A172,Études d'exécution transcendante,D-WRgs,GSA 60/I 23,Ms I 23,Liszt-Museum Weimar,Partitur,korrigierter Druck,x,,,GRANDES ETUDES | pour le Piano | par | F. LISZT. $ 24 GRANDES ETUDES | pour le Piano | composées et dédiées | à Monsieur Charles Czerny | par | F. LISZT. ,,dédiées | à Monsieur Charles Czerny,Tobias Haslinger ,16069828-5,Wien ,4066009-6,T. H. 7745 $ T. H. 7746,,, f 4.30 x C. M. | 3.- ,,"Titelseite, S. 3-122",Plattendruck,,Kl,,,,,"Titelseite und Titelumschlag mit Rötel komplett gestrichen; auf dem gelben Titelumschlag: ""Virtuosen Studien"" von Liszt mit Rötel gestrichen.",I Preludio $ III Paysage $ Etude IV | Mazeppa $ V Feux follets | (Irrlichter)  $ VI. Vision $ VII. Eroica $ VIII - Wilde Jagdt $ IX - Ricordanza $ XI. Hamonies du Soir $ XII | Chasse-neige,,Eilsen 2 Avril | 1851,1851-04-02,Bad Eilsen,4013810-0,"schwarze und rote Tinte, Rötel",Dr (Bleistift),"64 Blatt zu 25 Bogen und 14 Einzelblatt (Umschlag, 2 Titelseiten, 112 Seiten Notentext, 8 Leerseiten, paginiert)","Hochformat, 336 x 260 mm, 10 Notenzeilen; Hochformat, 332 x 260 mm, 10 Notenzeilen; Querformat, 269 x 340 mm, 10 Notenzeilen, handrastriert, Blatt 11-16; Hochformat, 337 x 263 mm, 12 Notenzeilen, handrastriert, Blatt 49-52; Hochformat, 340 x 220 mm, 10 Notenzeilen, handrastriert, Blatt 59-62; Hochformat, 340 x 207 mm, 12 Notenzeilen, handrastriert, Blatt 63; Überklebung S. 4a, Querformat, 160-163 x 220 mm, 6 Notenzeilen, handrastriert; Überklebung S. 5a, Querformat, 103 x 220 mm, 4 Notenzeilen, handrastriert; Überklebung S. 6a, Hochformat, 291 x 220 mm, 10 Notenzeilen, handrastriert; Überklebung S. 7a, Querformat, 108 x 230 mm, 4 Notenzeilen, handrastriert; Überklebung S. 8a, Querformat, 45 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 9a, Querformat, 45 x 91 mm, 2 Notenzeilen, handrastriert; Überklebung S. 9b, Querformat, 49-46 x 102 mm, 2 Notenzeilen, handrastriert; Überklebung S. 13a, Querformat, 163 x 220 mm, 6 Notenzeilen, handrastriert; Überklebung S. 14a, Querformat, 45-48 x 221 mm, 2 Notenzeilen, handrastriert; Überklebung S. 30a, Querformat, 55 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 31a, Querformat, 125 x 220 mm, 4 Notenzeilen, handrastriert; Überklebung S. 32a, Querformat, 51 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 33a, Querformat, 51-48 x 196 mm, 2 Notenzeilen, handrastriert; Überklebung S. 34a, Hochformat, 215 x 267 mm, 10 Notenzeilen, handrastriert; Überklebung S. 35a, Querformat, 92-86 x 216 mm, 4 Notenzeilen, handrastriert; Überklebung S. 36a, Querformat, 59 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 36b, Querformat, 50 x 81 mm, 2 Notenzeilen, handrastriert; Überklebung S. 37a, Querformat, 44 x 85 mm, 2 Notenzeilen, handrastriert; Überklebung S. 37b, Querformat, 45 x 82 mm, 2 Notenzeilen, handrastriert; Überklebung S. 37c, Querformat, 40 x 202 mm, 2 Notenzeilen, handrastriert; Überklebung S. 37d, Querformat, 56 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 38a, Querformat, 24 x 61 mm, 1 Notenzeile, handrastriert; Überklebung S. 38b, Querformat, 25 x 63 mm, 1 Notenzeile, handrastriert; Überklebung S. 40a, Querformat, 147 x 212 mm, 6 Notenzeilen, handrastriert; Überklebung S. 41a, Querformat, 47 x 53 mm, 2 Notenzeilen, handrastriert; Überklebung S. 41b, Querformat, 117-111 x 240 mm, 2 Notenzeilen, handrastriert; Überklebung S. 41c, Querformat, 64 x 211 mm, 2 Notenzeilen, handrastriert; Überklebung S. 42a, Querformat, 187 x 239 mm, 7 Notenzeilen, handrastriert; Überklebung S. 46a, Hochformat, 314 x 220 mm, 10 Notenzeilen, handrastriert; Überklebung S. 52a, Querformat, 54 x 80 mm, 2 Notenzeilen, handrastriert; Überklebung S. 52b, Querformat, 54 x 80 mm, 2 Notenzeilen, handrastriert; Überklebung S. 53a, Hochformat, 318 x 218 mm, 10 Notenzeilen, handrastriert; Überklebung S. 55a, Querformat, 44 x 224 mm, 2 Notenzeilen, handrastriert; Überklebung S. 56a, Querformat, 184-187 x 220 mm, 6 Notenzeilen, handrastriert; Überklebung S. 58a, Querformat, 115 x 220 mm, 4 Notenzeilen, handrastriert; Überklebung S. 59a, Querformat, 51 x 219 mm, 2 Notenzeilen, handrastriert; Überklebung S. 59b, Querformat, 44 x 233 mm, 2 Notenzeilen, handrastriert; Überklebung [S. 62a], Querformat, 120 x 219 mm, 4 Notenzeilen, handrastriert; Überklebung S. 63a, Querformat, 64 x 119 mm, 2 Notenzeilen, handrastriert; Überklebung S. 63b, Querformat, 47 x 110 mm, 2 Notenzeilen, handrastriert; Überklebung S. 64a, Querformat, 52 x 54 mm, 2 Notenzeilen, handrastriert; Überklebung S. 64b, Hochformat, 54 x 53 mm, 2 Notenzeilen, handrastriert; Überklebung S. 64c, Querformat, 64 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 65a, Querformat, 39 x 113 mm, 2 Notenzeilen, handrastriert; Überklebung S. 65b, Querformat, 43 x 90 mm, 2 Notenzeilen, handrastriert; Überklebung S. 66a, Querformat, 39 x 53 mm, 2 Notenzeilen, handrastriert; Überklebung S. 66b, Querformat, 49 x 60 mm, 2 Notenzeilen, handrastriert; Überklebung S. 67a, Querformat, 52-59 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 68a, Querformat, 19 x 103 mm, 1 Notenzeile, handrastriert; Überklebung S. 68b, Querformat, 21 x 135 mm, 1 Notenzeile, handrastriert; Überklebung S. 69a, Querformat, 19 x 115 mm, 1 Notenzeile, handrastriert; Überklebung S. 69b, Querformat, 24 x 63 mm, 1 Notenzeile, handrastriert; Überklebung S. 69c, Querformat, 24 x 82 mm, 1 Notenzeile, handrastriert; Überklebung S. 69d, Querformat, 19 x 111 mm, 1 Notenzeile, handrastriert; Überklebung S. 69e, Querformat, 18 x 105 mm, 1 Notenzeile, handrastriert; Überklebung S. 70a, Querformat, 21 x 58 mm, 1 Notenzeile, handrastriert; Überklebung S. 70b, Querformat, 23 x 188 mm, 1 Notenzeile, handrastriert; Überklebung S. 70c, Querformat, 24 x 60 mm, 1 Notenzeile, handrastriert; Überklebung S. 70d, Querformat, 20 x 131 mm, 1 Notenzeile, handrastriert; Überklebung S. 72a, Quadratformat, 220 x 220 mm, 8 Notenzeilen, handrastriert; Überklebung S. 77a, Querformat, 64-69 x 220 mm, 2 Notenzeilen, handrastriert; Überklebung S. 77b, Querformat, 98 x 221 mm, 3 Notenzeilen, handrastriert; Überklebung S. 78a, Querformat, 157 x 220 mm, 6 Notenzeilen, handrastriert; Überklebung S. 80a, Querformat, 142 x 245 mm, 6 Notenzeilen, handrastriert; Überklebung S. 83a, Hochformat, 222 x 220 mm, 8 Notenzeilen, handrastriert; Überklebung S. 91a, Hochformat, 317 x 220 mm, 10 Notenzeilen, handrastriert; Überklebung S. 92a, Querformat, 82 x 226 mm, 2 Notenzeilen, handrastriert; Überklebung S. 93a, Querformat, 26 x 188 mm, 1 Notenzeile, handrastriert; Überklebung S. 93b, Hochformat, 52 x 48 mm, 2 Notenzeilen, handrastriert; Überklebung S. 110a, Querformat, 123 x 220 mm, 4 Notenzeilen, handrastriert; Überklebung S. 111a, Querformat, 126 x 220 mm, 4 Notenzeilen, handrastriert; Überklebung S. 111b, Querformat, 55 x 123 mm, 2 Notenzeilen, handrastriert; Überklebung S. 112a, Querformat, 95 x 240 mm, 4 Notenzeilen, handrastriert; Überklebung S. 114a, Hochformat, 337 x 217 mm, 10 Notenzeilen, handrastriert; Überklebung S. 114a, Hochformat, 337 x 217 mm, 10 Notenzeilen, handrastriert; Überklebung S. 118a, Hochformat, 313 x 221 mm, 10 Notenzeilen, handrastriert; Überklebung S. 120a, Querformat, 47 x 125 mm, 2 Notenzeilen, handrastriert",,,,,,,,,,Die Druckseiten haben teils unregelmäßige oder abgeschnittene Ränder. ,"2 Bände mit gelben Umschlägen und Titelseiten, Etüden 1-12","Stark überarbeiteter Druck mit zahlreichen Überklebungen, Korrekturblättern und -bogen, einzelne Druckseiten zerschnitten und auf die Notenseiten geklebt. Liszt nutzt die Ausgabe von 1839 bei Haslinger für die Überarbeitung als Études d'exécution transcendante (Druck: Breitkopf & Härtel, 1852, Pl-Nr. 8484, 8485). Mit Rötel und schwarzer Tinte ergänzte Titel bei einzelnen Etüden: I Preludio $ III Paysage $ Etude IV | Mazeppa $ V Feux follets | (Irrlichter)  $ VI. Vision $ VII. Eroica $ VIII - Wilde Jagdt $ IX - Ricordanza $ XI. Hamonies du Soir $ XII | Chasse-neige. Die Etüden 4, 10 und 12 werden fast vollständig durch Autographe ersetzt. Mehrere der Überklebungen mit der Breite 220 mm stammen vom gleichen Papier.
Die Datierung befindet sich auf dem letzten Korrekturblatt und ist mir roter Tinte von Liszt geschrieben (Blatt 63r). ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,79
,,R 2b,"Études d'exécution transcendante, 1. Preludio",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7745,,,,,,,1.,Kl,Presto,,,,,"I - Preludio - von Liszt zweimal mit Rötel geschrieben, die gedruckte ""1."" ist überschrieben",,,,,,,,S. 2-3 (von 62 Blatt),,,,,,,,,,,,,"Liszt streicht Tempo- und Spielanweisungen (Rötel, rote Tinte) und korrigiert Akkorde in der Bassstimme, die er mit schwarzer oder roter Tinte am Seitenrand neu notiert. Den Schlussakkord in der Bassstimme oktaviert er und setzt ein Arpeggio davor.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,80
,,R 2b,"Études d'exécution transcendante, 10.",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7746,,,,,,,,Kl,,,,,,X von Liszt mit Rötel geschrieben,,,,,,,,S. 109 (von 62 Blatt),,,,,,,,,,, [S. 95-108 von Liszt entnommen],,"Die Seite ist komplett mit Rötel gestrichen, die weiteren Druckseiten der Etüde fehlen und sind durch ein Autograph ersetzt.
Nr. 10 ist in dieser Signatur eine autographe Quelle (s. entsprechenden Reiter).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,81
,,R 2b,"Études d'exécution transcendante, 11. Hamonies du soir",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7746,,,,,,,,Kl,Andantino,,,,,XI. Harmonies du Soir von Liszt schwarzer Tinte geschrieben. ,,,,,,,,S. 110-122 (von 62 Blatt),,,,,,,,,,,,,"Stark überarbeiteter Druck mit zahlreichen Überklebungen und Streichungen im Notentext, den Liszt teils am Seitenrand neu notiert. Die S. 114 und 116 sind vollständig mit autographem Notentext überklebt und mit der Druckseite vernäht. Die S. 115 ist vollständig mit Rötel gestrichen. Die S. 117/118 sind dem Druck entnommen, daher paginiert Liszt zusätzlich mit Rötel das gesamte Stück von S. 1-12. Bei der Dreiklangsbegleitung in der Bassstimme trägt Liszt auf den Tonrepetitionen Bindungen ein und markiert dies zusätzlich am Seitenrand.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,82
,,R 2b,"Études d'exécution transcendante, 2.",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7745,,,,,,,2.,Kl,Molto vivace,,,,,"II von Liszt mit Rötel geschrieben, die gedruckte ""2."" überschrieben",,,,,,,,S. 4-9 (von 62 Blatt),,,,,,,,,,,,,"Stark überarbeiteter Druck, jede Seite enthält Überklebungen, S. 6 ist vollständig überklebt. Liszt streicht zusätzlich Takte im Druck sowie Tempo- und Spielanweisungen (Rötel, rote Tinte). Den Notentext der Überklebungen schreibt er mit schwarzer Tinte und ergänzt Anweisungen mit roter Tinte und Rötel.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,83
,,R 2b,"Études d'exécution transcendante, 3. Paysage",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7745,,,,,,,3.,Kl,Poco Adagio,,,,,"III - Paysage - von Liszt mit schwarze Tinte geschrieben und mit Kommentaren ergänzt, die gedruckte ""3."" überschrieben; darunter nochmals ""Paysage"" mit schwarzer Tinte, gestrichen ",,,,,,,,S. 10-15 (von 62 Blatt),,,,,,,,,,,,,"Liszts Überarbeitungen betreffen Tempo- und Spielanweisungen, dazu korrigiert er den Notentext durch Streichungen (S. 14 komplett) und Überklebungen. Zusätzlich vermerkt er Anweisungen an den Drucker. Neben dem Titel (S.10) links schreibt Liszt mit schwarzer Tinte und Rötel: NB - [Rötel: ] ein 3tel der | [gestrichen:] die halbe [schwarze Tinte:] Platte | leer - zu dem Titel. Auf S. 12 schreibt Liszt über dem Notentext mit roter Tinte: ""NB alle die Striche | weg."" Am Ende des Stücks verweist Liszt (Rötel) auf die Nr. 4: ""für die 4te Etüde Mazeppa | Vide das Manuscript"".",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,84
,,R 2b,"Études d'exécution transcendante, 4. ",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7745,,,,,,,4.,Kl,Allegro patetico,,,,,,,,,,,,,"S. 16, S. 29 (von 62 Blatt)",,,,,,,,,,,,,"Die Seiten sind komplett mit Rötel gestrichen, die weiteren Druckseiten der Etüde fehlen und sind durch ein Autograph ersetzt. Auf S. 16 befinden sich oben schwarze Sigelwachsflecken mit Papierresten, die auf eine ggf. zuerst geplante Überklebung hinweisen. Am Ende der Seite schreibt Liszt (schwarze Tinte): ""NB. Der Notenstich dieser Etude (No. 4) muß erst Mitte | der Platte anfangen - und die erste Hälfte durch | den Titel - 4. Mazeppa - eingenommen werden."" Unter auf S. 29 schreibt Liszt (Rötel): Vide Seite 29 Bis (Correctur) für den Schluß"". Beide Seiten waren miteinander vernäht (siehe Einstiche und Fadenreste).
Grundsätzlich ist Mazeppa handschriftlich in dieser Quelle vermerkt (s. entsprechend den anderen Reiter).",,"Autograph Mazeppa: siehe Tabellenblatt ""I Autographe""",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,85
,,R 2b,"Études d'exécution transcendante, 5. Feux follets",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7745,,,,,,,5.,Kl,Allegretto,,,,,"V - Feux follets - | (Irrlichter) von Liszt mit Rötel geschrieben, darüber gedruckt ""5.""",,,,,,,,S. 30-41 (von 62 Blatt),,,,,,,,,,,,,"Stark überarbeiteter Druck, jede Seite enthält (teils mehrere) Überklebungen. S. 34 ist vollständig durch autographen Notentext ersetzt, der mit der Druckseite vernäht ist. Neben dem neuen Titel streicht Liszt mit Rötel die Tempoangabe ""Egualmente"" und schreibt ""Allegretto"" darüber. Zusätzliche zu den Überklebungen werden Takte mit Rötel und/oder schwarzer oder roter Tinte gestrichen und teils am Seitenrand neu notiert. S. 35 ist bis auf die Überklebung komplett gestrichen.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,86
,,R 2b,"Études d'exécution transcendante, 7. Eroica",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7745,,,,,,,VII. | Eroica -,Kl,Allegro,,,,,VII. | Eroica - von Liszt mit schwarzer Tinte geschrieben.,,,,,,,,S. 53-62 (von 62 Blatt),,,,,,,,,,,[S. 60/61 vernäht],,"Der Beginn der Etüde ist komplett neu notiert und mit der Druckseite vernäht. S. 54 bis S. 55, 1. System sind mit Rötel gestrichen und S. 60/61 des Drucks sind ebenfalls miteinander vernäht. Neben einigen Überklebungen streicht und korrigiert Liszt zusätzlich im gedruckten Notentext und notiert einzelne Passagen am Seitenrand neu (S. 57 und 59).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,87
,,R 2b,"Études d'exécution transcendante, 8. Wilde Jagd",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7746,,,,,,,8.,Kl,Presto furioso,,,,,VIII - Wilde Jagdt [sic] von Liszt mit Rötel geschrieben,,,,,,,,S. 63-80 (von 62 Blatt),,,,,,,,,,,[S. 73-76 von Liszt entnommen],,"Stark überarbeiteter Druck, jede Seite enthält (teils mehrere) Überklebungen. S. 72 ist vollständig durch autographen Notentext ersetzt. Am Ende der Seite notiert Liszt mit Rötel ""Volte sine | Pag 77"". Die S. 73-76 sind komplett entnommen. Die erste Hälfte von S. 77 ist ebenfalls durch autographen Notentext ersetzt. Hinzukommen weitere Taktstreichungen mit Rötel oder schwarzer Tinte (S. 66, 68, 71, 77, 79, 80), die teils durch neuen Notentext am Seitenrand ersetzt werden. Die 4 Schlusstakte notiert Liszt mit schwarzer Tinte am unteren Seitenrand neu. ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,88
,,R 2b,"Études d'exécution transcendante, 9. Ricordanza",D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7746,,,,,,,9.,Kl,Andantino,,,,,IX - Ricordanza -  von Liszt mit Rötel geschrieben. ,,,,,,,,S. 81-94 (von 62 Blatt),,,,,,,,,,,,,"Liszt Überarbeitungen betreffen einzelne Taktstreichungen (S. 82, 87, 88, 92, 93) mit Rötel oder schwarzer Tinte, die er teils am Seitenrand durch neue Notentext ersetzt. Die Überklebung auf S. 83 verdeckt einen mit Rötel geschriebenen sowie unleserlich gestrichenen Text und ist mit der Druckseite vernäht. Auf der Überklebung schreibt Liszt zu einem Verweiszeichen am Ende ""2tes mal | Seite 87"" und an der unteren rechten Ecke ""Vide Seite | 88"". Auf S. 87 sind die unteren 4 Systeme mit Rötel komplett gestrichen, dazu schreibt Liszt am Seitenrand ""Die | 8 Takte | (Correktur | Seite 83) | 1, 2, 3, 4, | 5, 6, 7, 8 | wiederholen |- und | dann | weiter | Seite"". Auf S. 84 und 85 ergänzt Liszt Fingersätze mit roter Tinte. Die S. 91 ist komplett durch autographen Notentext ersetzt, den Liszt mit schwarzer Tinte schreibt und dazu Dynamik und Phrasierung mit roter Tinte sowie Pedalisierung mit Rötel ergänzt. Weiterhin vermerkt Liszt mit schwarzer Tinte Hinweise an den Drucker bezüglich der Stichnotengröße der 16tel und 32tel (S. 88, 89, 90, 94). Am Ende der Etüde schreibt Liszt schwach mit Rötel ""für die Xte Etude | Vide das Manuscript"". ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,89
,,R 2b,Études d'exécution transcendante. 6. Vision,D-WRgs,GSA 60/I 23,,,Partitur,,,x,,,,,,,,,T. H. 7745,,,,,,,6.,Kl,Lento,,,,,VI. Vision. von Liszt mit schwarzer Tinte geschrieben.,,,,,,,,S. 42-52 (von 62 Blatt),,,,,,,,,,,,,"Der Beginn der Etüde ist komplett neu notiert, S. 46 ist vollständig durch autographen Notentext ersetzt und mit der Druckseite vernäht, S. 47 ist mit Rötel gestrichen. Im weiteren Notentext streicht und ersetzt Liszt nur einzelne Takte. Auf S. 43/44 streicht Liszt mit Rötel einzelne Noten aus den gebrochenen Akkordfiguren der Bassstimme und vermerkt am Seitenrand: ""NB. in | der linken | Hand, blos | 32tel"".",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192199,UR,,,,,90
,,R 400 (114),Évocation à la Chapelle Sixtine,D-WRgs,GSA 60/Y 4,,,,Korrekturabzug,,x,,,,,,,,,266,,,,,,Plattendruck,IV | Miserere von Allegri.,,Lento,,,,,"Die römische Ziffer ""IV"" ist von Liszt mit blauem Stift handschriftlich ergänzt.",,,,,,"schwarze Tinte, roter und blauer Stift",,"11 Blatt (11 Seiten Notentext, 11 Leerseiten, paginiert)","Querformat, ??? x ??? mm",,,,,,,,,,,,"Die Anzahl der Korrekturen ist hoch (roter und blauer Stift), häufig notiert Liszt kleine Notenskizzen an den Rand, um sie zu verdeutlichen (schwarze Tinte). Auch fügt er eine weitere Anweisung zu Registrierung und Dynamik des Schlusses hinzu, die für dessen Klangwirkung durchaus wichtig ist. Mit einer Einfügemarke (roter Stift) im vorletzten System der Komposition verweist er auf die Bemerkung ""Vom Viertel [sic!] Viertel (S. 13) dieses Takts bis zum Schluss muss die ganze Stelle nur in der oberen Oktave in der rechten und linken Hand pp erklingen [Notenskizze] und verhallen."" ",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209800,BV,,,,,91
,1001283442,[R 418],Festklänge,D-WRgs,GSA 60/Z 22,Ms Z 22,Liszt-Museum,Partitur,korrigierter Druck,,,,,,,Breitkopf & Härtel,64766-4,,,14560,,,,,S. 3-27,Plattendruck,FESTKLÄNGE.,Kl,Allegro mosso con brio,,,,"Blauer Schutzumschlag, auf dem mit blauem Stift ""Noch einen Abzug"" vermerkt ist.","""Übertragung"" zweimal mit Bleistift hinzugesetzt.",,,,,,"rote und schwarze Tinte, roter und blauer Stift",zS (Bleistift) ,"16 Blatt zu 8 Bogen (Umschlag, Fadenheftung, 25 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 332 x 268 mm, 10-12 Notenzeilen",,,,,,,,,,Der Druck ist mit einem blauen Schutzumschlag eingefasst.,,"Probedruck des Arrangements der Festklänge für Klavier zweihändig von Ludwig Stark, mit vielen Korrekturen und Zusätzen von Liszt, insbesondere Dynamik, Phrasierung, Spielanweisungen, Fingersätze und Pedalisierung betreffend. Die Ergänzungen sind sowohl im Notentext als auch auf den Korrekturrändern eingetragen. Die Dichte der Eintragungen ist sehr hoch, so dass sich zahlreiche Hinzufügungen praktisch auf jeder Seite finden; Deleaturen oder Korrekturen im Notentext sind hingegen sehr selten (letztere beispielsweise auf S. 8 oder 11). Die unterschiedlichen Stifte lassen auf einen mehrgängigen Überarbeitungs- bzw. Revisionsprozess schließen. Als Schreibstoff gelangen vor allem roter Stift und rote Tinte, vereinzelt aber auch blauer Stift und schwarze Tinte zum Einsatz. Es finden sich auch wenige Zusätze sowie Vorzeichenkorrekturen (S. 5) von fremder Hand mit Bleistift. Quer zur ersten Seite des Notentextes notiert Liszt mit roter Tinte den Hinweis: ""Die letzte Correctur | bitte ich an Herrn Professor | [Ludwig Stark 117217204] zu senden | F. Liszt"". Weiterer Hinweis mit roter Tinte quer zum linken Rand auf S. 6: ""Die Pedale und * anders vertheilt."" Zur Ausdrucksart der Polonaise notiert Liszt auf S. 8 mit schwarzer Tinte ""espressivo il canto, l'accompagnamento sempre leggiero e staccato"".","Widmungsvermerk, S. 3, mit Bleistift: ""Auf dem Titel bitte die Dedikation an Doppler nicht vergessen zu lassen!""",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209893,DTie,"https://haab-digital.klassik-stiftung.de/viewer/fullscreen/4251330242/2-2/

Erstdruck HAAB L 1568, Exemplar ist von Alexander Wilhelm Gottschalg signiert",,,,92
,1001340037,R 433 | S 115 | G5,Festmarsch zu Goethe's Jubiläumsfeier,D-WRgs,GSA 60/A 18c,Ms A 18|c,Liszt-Museum Weimar,Partitur,Korrekturabzug,,,,,,,J. Schuberth & Co. ,5330993-5,,,2416,,,,,S. 1-64,Plattendruck,FEST-MARSCH | zu Goethe's Jubiläum Feier. ,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in B, 2 Fg, 4 Hr in Es, 2 Trp in Es, 2 Tpos, Bpos, Tb, grTr, Bck, Pk, Vl, Vla, Vlc, Kb)",Allegro mosso,,,,,,,gs. W. d 5/7. 70.,1870-07-05,,,,"zS (schwarze Tinte, blauer Stift, Bleistift), Dr (Rötel)","64 Blatt (64 Seiten Notentext, 64 Leerseiten, paginiert) ","Hochformat, 266 x 172 mm, 16 Notenzeilen und 1 Notenlinie",,,,,,,,W.[eimar] [?],,1. Blatt unten abgeschnitten,,"Entsprechend des Hinweises auf der ersten Seite finden sich die Korrekturen auf den jeweiligen Seiten. Sie sind mit blauem Stift eingetragen. Es geht um die korrekte Positionierung von Akkoladenklammern und Schlüsseln, aber auch um die Korrektur falscher Noten und Ergänzung von Artikulationszeichen. Im Grunde sind es aber nur geringe Eingriffe, Liszts Hand ist nicht auszumachen.
Zum Titel: Schwarze Tinte: ""nachdem die Correctur genau gemacht | erbitten diesen Abzug wieder retour"". Außerdem mit blauem Stift eine Auflistung sämtlicher Korrekturen: ""II | 5033 | Auf folgenden | Seiten ist hier- | mit auf das | Gewissenhafteste! | zu corrigiren: | Seite 18. | 20. | 21. | 25. | 26. | 28. | 32. | 33. | 34. | 57. | 59. | 64.""","keine Eintragungen von Liszt, zusätzliche Info der GSA-Archivdatenbank: ""letzter Korrekturabzug der revidierten Schuberth-Ausgabe"".",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190403,DTie,,,,8,93
